"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1905818","regulation of chromosome separation",46,-0.815569406561504,-3.53702047568705,1e-10,3.84719101123596e-09,3.27735068007096e-09,608,"tags=78%, list=10%, signal=71%","Smc4/Ncapd3/Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Ube2c/Smc2/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Ncaph/Mad2l1/Trip13/Ncapd2/Bub1/Ncapg2/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin/Ncapg"
"GO:0000278","mitotic cell cycle",390,-0.552518677335165,-3.49840840090977,1e-10,3.84719101123596e-09,3.27735068007096e-09,1147,"tags=50%, list=19%, signal=43%","Lgmn/Reep4/Mcph1/Ran/Rad21/Rbbp8/Zw10/Tube1/Rpa2/Nudc/Tubb4b/Tfdp1/Tubb2a/Inip/Cenpw/Rbl1/Aaas/Lsm11/Mcm4/Rfwd3/Tada2a/Cdk6/Dpf1/Bora/Chek1/Ska2/Cks2/Nasp/Cdc6/Phf13/Pcnt/Rcc1/Stx2/Cdk5rap2/Stmn1/Ncaph2/Mcm6/Enkd1/Pcna/Donson/Cks1b/Mrnip/Topbp1/Tuba1c/Stk35/Cenpa/Wdhd1/Asns/Tubb5/Cdkn2c/Ezh2/Rad9a/Dpf3/Tubgcp6/Mcm3/Psme3/Mtbp/Smc4/Sass6/Tipin/Nup62/Skp2/Ncapd3/Xrcc3/Tuba1b/Tcf19/Cdc20/Ska3/Pkmyt1/Usp2/Ccnb2/Ccne2/Dtl/Spdya/Dbf4/Knstrn/Lmnb1/Camk2b/Mcm2/Aurka/Pola1/Rad51c/Rtel1/Dna2/Cdkn1a/Fbxo5/Tuba8/Kif20a/Ccnb1/E2f1/Kif23/Gmnn/Ube2c/Rrm1/Blm/Lig1/Ckap2/Tacc3/Cdk1/Atad5/Tubg1/Smc2/Orc1/Cdt1/Pole/Plk1/Ccne1/Efhc1/Dlgap5/Gen1/Racgap1/Cdca2/Zwilch/Kifc5b/Xrcc2/Rad51/Wdr62/Cenpe/Ect2/Anapc15/Kntc1/Cdc7/Cdc45/Ska1/Cdc25b/Incenp/Cenph/Brca2/Birc5/Brca1/Uhrf1/Nuf2/Rad51b/Ncaph/Bard1/Tk1/E2f8/Cenpk/Mad2l1/Clspn/Mybl2/Trip13/E2f7/Ncapd2/Bub1/Cenpf/Prc1/Sapcd2/Ccsap/Ccna2/Ccnf/Cdc25c/Cit/Kif22/Eme1/Stil/Ncapg2/Iqgap3/Rrm2/Tpx2/Spc24/Cdca8/Kif18a/Knl1/Nsl1/Mki67/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Mastl/Cenpi/Ticrr/Espl1/Kif20b/Nusap1/Foxm1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/D7Ertd443e/Kif14/Anln/Ncapg/Kif2c/Kifc1/Kif4/Gpsm2/Nek2/Cep55"
"GO:0048285","organelle fission",233,-0.588652086319779,-3.49393229754099,1e-10,3.84719101123596e-09,3.27735068007096e-09,609,"tags=43%, list=10%, signal=41%","Mtbp/Smc4/Hfm1/Nup62/Ncapd3/Xrcc3/Suv39h2/Dmc1/Cdc20/Ska3/Ccnb2/Ccne2/Spdya/Knstrn/Camk2b/Aurka/Rad51c/Fbxo5/Ccnb1/Kif23/Ube2c/Chtf18/Ndc1/Cdk1/Tubg1/Smc2/Cdt1/Fmn2/Plk1/Ccne1/Gen1/Cenps/Racgap1/Cdca2/Zwilch/Kifc5b/Rad54l/Rad51/Cenpe/Anapc15/Kntc1/Sgo1/Ska1/Cdc25b/Incenp/Brca2/Birc5/Uhrf1/Nuf2/Ncaph/Cenpk/Fignl1/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Brip1/Prc1/Rad54b/Ccsap/Ankle1/Cit/Kif22/Eme1/Ncapg2/Rps6ka2/Tpx2/Rad51ap1/Spc24/Fanca/Cdca8/Kif18a/Top2a/Knl1/Sgo2a/Nsl1/Mki67/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Mastl/Cenpi/Espl1/Nusap1/Spc25/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Aspm/Kif2c/Kifc1/Kif4/Nek2"
"GO:0051321","meiotic cell cycle",140,-0.635116923386803,-3.48992570611507,1e-10,3.84719101123596e-09,3.27735068007096e-09,862,"tags=54%, list=14%, signal=48%","Ska2/Cks2/Mnd1/Ncaph2/Mcm6/Fancm/Topbp1/Stk35/Rmi1/Tubgcp6/Mcm3/Smc4/Hfm1/Ncapd3/Mcm5/Suv39h2/Dmc1/Cdc20/Ska3/Pkmyt1/Ccnb2/Ccne2/Rpa1/Spdya/Camk2b/Mcm2/Aurka/Rad51c/Fbxo5/Chtf18/Ndc1/Tubg1/Smc2/Fmn2/Plk1/Ccne1/Cenps/Rad54l/Rad51/Cenpe/Mns1/Sgo1/Ska1/Cdc25b/Incenp/Brca2/Birc5/Nuf2/Exo1/Ncaph/Fignl1/Trip13/Ncapd2/Brip1/Rad54b/Ankle1/Cdc25c/Eme1/Rps6ka2/Rad51ap1/Fanca/Kif18a/Top2a/Knl1/Sgo2a/Mki67/Fancd2/Mastl/Espl1/Ttk/Exd1/Ndc80/Haspin/Aspm/Nek2/Katnal2"
"GO:0007051","spindle organization",99,-0.665036779180167,-3.48059546913825,1e-10,3.84719101123596e-09,3.27735068007096e-09,997,"tags=61%, list=16%, signal=51%","Ezr/Aaas/Sac3d1/Bora/Haus6/Ska2/Pcnt/Rcc1/Stmn1/Tubb5/Haus4/Haus1/Tubgcp6/Sass6/Nup62/Cdc20/Ska3/Ccnb2/Knstrn/Aurka/Fbxo5/Ccnb1/Kif23/Haus5/Tacc3/Cep72/Tubg1/Plk1/Aunip/Efhc1/Dlgap5/Racgap1/Kifc5b/Wdr62/Cenpe/Ska1/Incenp/Cenph/Birc5/Uhrf1/Nuf2/Mybl2/Prc1/Ccsap/Stil/Tpx2/Cdca8/Kif11/Aurkb/Espl1/Spc25/Kif15/Spag5/Ndc80/Aspm/Kifc1/Kif4/Gpsm2/Nek2/Katnal2"
"GO:0051276","chromosome organization",272,-0.574608088224568,-3.47562775283769,1e-10,3.84719101123596e-09,3.27735068007096e-09,927,"tags=45%, list=15%, signal=40%","Nup107/Mis18a/Dpf1/Src/Ska2/Nasp/Cdc6/Phf13/Mnd1/Rcc1/Cdk5rap2/Ncaph2/Pcna/Pkib/Topbp1/Cenpa/Wdhd1/Ppp2r5d/LTO1/Dpf3/Smc4/Nup62/Ncapd3/Xrcc3/Dmc1/Cdc20/Ska3/Ccne2/Rmi2/Rpa1/Spdya/Knstrn/Rad51c/Rtel1/Dna2/Fbxo5/Ccnb1/Kif23/Ube2c/Hmgb2/Mapkapk5/Blm/Ndc1/Tacc3/Cdk1/Lmna/Tubg1/Smc2/Cdt1/Cenpo/Plk1/Ccne1/Fen1/Dlgap5/Gen1/Racgap1/Zwilch/Kifc5b/Rad54l/Dscc1/Rad51/Cenpe/Anapc15/Kntc1/Sgo1/Ska1/Incenp/Cenph/Brca2/Birc5/Cenpp/Cdca5/Uhrf1/Oip5/Nuf2/Ncaph/Cenpk/Mad2l1/Mybl2/Trip13/Ncapd2/Bub1/Brip1/Prc1/Esco2/Ccsap/Cit/Kif22/Cenpn/Ncapg2/Cip2a/Tpx2/Spc24/Cdca8/Kif18a/Top2a/Knl1/Sgo2a/Nsl1/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Cenpi/Espl1/Nusap1/Spc25/Mis18bp1/Kif15/Ttk/Spag5/Ndc80/Kif18b/Haspin/Kif14/Ncapg/Kif2c/Recql4/Pif1/Kifc1/Kif4/Nek2"
"GO:0140013","meiotic nuclear division",97,-0.667636159030026,-3.47128084431278,1e-10,3.84719101123596e-09,3.27735068007096e-09,862,"tags=61%, list=14%, signal=53%","Ska2/Cks2/Mnd1/Ncaph2/Fancm/Topbp1/Rmi1/Smc4/Hfm1/Ncapd3/Suv39h2/Dmc1/Cdc20/Ska3/Ccnb2/Ccne2/Spdya/Camk2b/Aurka/Rad51c/Fbxo5/Chtf18/Ndc1/Smc2/Fmn2/Plk1/Ccne1/Cenps/Rad54l/Rad51/Cenpe/Sgo1/Ska1/Cdc25b/Incenp/Brca2/Birc5/Nuf2/Ncaph/Fignl1/Trip13/Brip1/Rad54b/Ankle1/Eme1/Rps6ka2/Rad51ap1/Fanca/Kif18a/Top2a/Knl1/Sgo2a/Fancd2/Mastl/Espl1/Ttk/Ndc80/Haspin/Aspm"
"GO:0010965","regulation of mitotic sister chromatid separation",38,-0.813685456321038,-3.41452664038962,1e-10,3.84719101123596e-09,3.27735068007096e-09,586,"tags=76%, list=10%, signal=69%","Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Ube2c/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Mad2l1/Trip13/Bub1/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin"
"GO:0051985","negative regulation of chromosome segregation",37,-0.820118930362686,-3.40888595053262,1e-10,3.84719101123596e-09,3.27735068007096e-09,586,"tags=78%, list=10%, signal=71%","Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Chtf18/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Mad2l1/Trip13/Bub1/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin"
"GO:0006261","DNA-templated DNA replication",100,-0.653336025898929,-3.40828966958034,1e-10,3.84719101123596e-09,3.27735068007096e-09,1279,"tags=71%, list=21%, signal=57%","Rfc3/Cdk2/Pold3/Gins1/Mcm7/Mgme1/Rfc1/Rfc2/Rbbp8/Pole3/Recql/Mcm4/Rfwd3/Pold2/Cdc6/Mcm6/Pcna/Donson/Fancm/Topbp1/Prim1/Wdhd1/Mms22l/Orc6/Fam111a/Mcm3/Tipin/Mcm5/Ccne2/Pold1/Dbf4/Pole2/Mcm2/Pola2/Pola1/Rtel1/Dna2/Fbxo5/Nucks1/Prim2/Rfc4/Gmnn/Timeless/Rrm1/Blm/Lig1/Cdk1/Atad5/Orc1/Cdt1/Pole/Ccne1/Gen1/Cenps/Rfc5/Rad51/Zranb3/Cdc7/Cdc45/Polq/Brca2/Brca1/Exo1/Bard1/Tk1/E2f8/E2f7/Eme1/Traip/Mcm10/Ticrr"
"GO:0050000","chromosome localization",69,-0.702624108838213,-3.40710793339443,1e-10,3.84719101123596e-09,3.27735068007096e-09,594,"tags=52%, list=10%, signal=48%","Nup62/Ska3/Spdya/Knstrn/Ccnb1/Cdk1/Lmna/Cdt1/Fmn2/Racgap1/Kifc5b/Cenpe/Ect2/Sgo1/Ska1/Incenp/Brca2/Birc5/Nuf2/Cenpf/Kif22/Spc24/Cdca8/Kif18a/Knl1/Nsl1/Spdl1/Aurkb/Spc25/Ttk/Spag5/Ndc80/Kif14/Kif2c/Kifc1/Nek2"
"GO:0090068","positive regulation of cell cycle process",128,-0.627628419440944,-3.40443047075255,1e-10,3.84719101123596e-09,3.27735068007096e-09,609,"tags=48%, list=10%, signal=44%","Mtbp/Smc4/Sass6/Nup62/Ncapd3/Xrcc3/Cdc20/Ska3/Ccne2/Dtl/Dbf4/Lmnb1/Camk2b/Rad51c/Fbxo5/Ccnb1/Kif23/Ube2c/Rrm1/Rad18/Cdk1/Atad5/Smc2/Orc1/Ccne1/Fen1/Gen1/Plk4/Racgap1/Cenpe/Ect2/Cdc7/Ska1/Cdc25b/Incenp/Birc5/Rad51b/Ncaph/E2f8/Mad2l1/E2f7/Ncapd2/Bub1/Cdc25c/Cit/Stil/Ncapg2/Rrm2/Pagr1a/Rad51ap1/Cdca8/Knl1/Sgo2a/Aurkb/Kif20b/Nusap1/Spag5/Ndc80/Kif14/Ncapg/Gpsm2"
"GO:0033047","regulation of mitotic sister chromatid segregation",40,-0.802000083035002,-3.3708368754293,1e-10,3.84719101123596e-09,3.27735068007096e-09,586,"tags=72%, list=10%, signal=66%","Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Cdk1/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Mad2l1/Trip13/Bub1/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin"
"GO:0000075","cell cycle checkpoint signaling",97,-0.648152758751318,-3.36997962919013,1e-10,3.84719101123596e-09,3.27735068007096e-09,1111,"tags=63%, list=18%, signal=52%","Rbbp8/Zw10/Rpa2/Rnf168/Inip/Mdc1/Rfwd3/Chek1/Cdc6/Cdk5rap2/Donson/Mrnip/Topbp1/Rad9a/Tipin/Xrcc3/Cdc20/Ska3/Dtl/Wdr76/Dna2/Cdkn1a/Ccnb1/E2f1/Timeless/Blm/Cdk1/Orc1/Cdt1/Plk1/Gen1/Zwilch/Rad51/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Brca2/Birc5/Brca1/Nuf2/Bard1/Mad2l1/Clspn/Trip13/Bub1/Eme1/Spc24/Cdca8/Knl1/Fancd2/Spdl1/Bub1b/Aurkb/Ticrr/Spc25/Ttk/Ndc80/Haspin/D7Ertd443e"
"GO:0010564","regulation of cell cycle process",309,-0.549713002061483,-3.36447500115504,1e-10,3.84719101123596e-09,3.27735068007096e-09,1140,"tags=50%, list=19%, signal=42%","Bin1/Mcph1/Rad21/Rbbp8/Zw10/Kat2a/Rpa2/Paxip1/Rnf168/Tfdp1/Inip/Mdc1/Rbl1/Lsm11/Xpo1/Myo19/Mdm1/Rfwd3/Cdk6/Dpf1/Csf1r/Bora/Chek1/Cep295/Git1/Cdc6/Cep131/Rcc1/Cdk5rap2/Ncaph2/Donson/Mrnip/Topbp1/Stk35/Alms1/Cdkn2c/Ezh2/Rad9a/Dpf3/Psme3/Mtbp/Smc4/Sass6/Tipin/Nup62/Ncapd3/Xrcc3/Cdc20/Ska3/Pkmyt1/Ccne2/Rmi2/Dtl/Dbf4/Knstrn/Lmnb1/Camk2b/Aurka/Wdr76/Rad51c/Dna2/Cdkn1a/Fbxo5/Kif20a/Ccnb1/E2f1/Kif23/Ube2c/Chtf18/Timeless/Rrm1/Blm/Rad18/Tacc3/Cdk1/Atad5/Tubg1/Smc2/Orc1/Cdt1/Plk1/Ccne1/Fen1/Gen1/Plk4/Racgap1/Cdca2/Zwilch/Rad51/Wdr62/Cenpe/Ect2/Anapc15/Kntc1/Cdc7/Ska1/Cdc25b/Incenp/Brca2/Birc5/Brca1/Nuf2/Rad51b/Ncaph/Bard1/E2f8/Mad2l1/Clspn/Trip13/E2f7/Ncapd2/Bub1/Cenpf/Prc1/Ccsap/Ccnf/Cdc25c/Cit/Eme1/Stil/Ncapg2/Rps6ka2/Rrm2/Pagr1a/Tpx2/Rad51ap1/Spc24/Cdca8/Knl1/Sgo2a/Mki67/Kif11/Fancd2/Spdl1/Bub1b/Aurkb/Ticrr/Kif20b/Nusap1/Spc25/Ttk/Spag5/Ndc80/Haspin/D7Ertd443e/Kif14/Ncapg/Kif2c/Recql4/Mlf1/Kifc1/Gpsm2/Nek2"
"GO:0033046","negative regulation of sister chromatid segregation",36,-0.817881627721661,-3.35894498316963,1e-10,3.84719101123596e-09,3.27735068007096e-09,586,"tags=78%, list=10%, signal=71%","Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Mad2l1/Trip13/Bub1/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin"
"GO:0033048","negative regulation of mitotic sister chromatid segregation",36,-0.817881627721661,-3.35894498316963,1e-10,3.84719101123596e-09,3.27735068007096e-09,586,"tags=78%, list=10%, signal=71%","Xrcc3/Cdc20/Ska3/Fbxo5/Ccnb1/Plk1/Gen1/Zwilch/Cenpe/Anapc15/Kntc1/Ska1/Incenp/Birc5/Nuf2/Mad2l1/Trip13/Bub1/Spc24/Cdca8/Knl1/Spdl1/Bub1b/Aurkb/Spc25/Ttk/Ndc80/Haspin"
